INDICATOR,PANEL,PANEL_NUM,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,SE,FLAG
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2001,2,45-64 years,1.3,259718.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2002,3,45-64 years,1.3,267249.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2003,4,45-64 years,1.3,257258.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2004,5,45-64 years,1.3,264103.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2005,6,45-64 years,1.3,283180.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2006,7,45-64 years,1.3,256494.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2007,8,45-64 years,1.3,283890.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2008,9,45-64 years,1.3,284110.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2009,10,45-64 years,1.3,316395.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2010,11,45-64 years,1.3,296385.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2011,12,45-64 years,1.3,285784.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2012,13,45-64 years,1.3,275307.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2013,14,45-64 years,1.3,282109.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2014,15,45-64 years,1.3,273423.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2015,16,45-64 years,1.3,305071.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2016,17,45-64 years,1.3,252037.0,11468.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-64 years,1.3,2018,19,45-64 years,1.3,251488.0,14876.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2000,1,45-54 years,1.31,119474.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2001,2,45-54 years,1.31,141598.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2002,3,45-54 years,1.31,145767.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2003,4,45-54 years,1.31,138634.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2004,5,45-54 years,1.31,135082.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2005,6,45-54 years,1.31,145034.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2006,7,45-54 years,1.31,133402.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2007,8,45-54 years,1.31,141478.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2008,9,45-54 years,1.31,137776.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2009,10,45-54 years,1.31,158120.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2010,11,45-54 years,1.31,140819.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2011,12,45-54 years,1.31,136429.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2012,13,45-54 years,1.31,129816.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2013,14,45-54 years,1.31,131013.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2014,15,45-54 years,1.31,124449.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2015,16,45-54 years,1.31,142016.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2016,17,45-54 years,1.31,113724.0,6087.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,45-54 years,1.31,2018,19,45-54 years,1.31,111899.0,7511.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2000,1,55-64 years,1.32,97309.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2001,2,55-64 years,1.32,118120.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2002,3,55-64 years,1.32,121482.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2003,4,55-64 years,1.32,118624.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2004,5,55-64 years,1.32,129020.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2005,6,55-64 years,1.32,138146.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2006,7,55-64 years,1.32,123092.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2007,8,55-64 years,1.32,142412.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2008,9,55-64 years,1.32,146335.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2009,10,55-64 years,1.32,158275.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2010,11,55-64 years,1.32,155566.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2011,12,55-64 years,1.32,149355.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2012,13,55-64 years,1.32,145491.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2013,14,55-64 years,1.32,151096.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2014,15,55-64 years,1.32,148974.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2015,16,55-64 years,1.32,163055.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2016,17,55-64 years,1.32,138313.0,6798.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,55-64 years,1.32,2018,19,55-64 years,1.32,139589.0,9441.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2000,1,65 years and over,1.4,200289.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2001,2,65 years and over,1.4,250269.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2002,3,65 years and over,1.4,244451.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2003,4,65 years and over,1.4,227520.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2004,5,65 years and over,1.4,233991.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2005,6,65 years and over,1.4,247683.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2006,7,65 years and over,1.4,229837.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2007,8,65 years and over,1.4,258214.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2008,9,65 years and over,1.4,256135.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2009,10,65 years and over,1.4,279514.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2010,11,65 years and over,1.4,258976.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2011,12,65 years and over,1.4,255736.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2012,13,65 years and over,1.4,247634.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2013,14,65 years and over,1.4,265195.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2014,15,65 years and over,1.4,264518.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2015,16,65 years and over,1.4,305670.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2016,17,65 years and over,1.4,239016.0,10814.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65 years and over,1.4,2018,19,65 years and over,1.4,281444.0,18327.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2000,1,65-74 years,1.41,102447.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2001,2,65-74 years,1.41,122970.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2002,3,65-74 years,1.41,118971.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2003,4,65-74 years,1.41,106424.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2004,5,65-74 years,1.41,113426.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2005,6,65-74 years,1.41,119061.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2006,7,65-74 years,1.41,108063.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2007,8,65-74 years,1.41,127805.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2008,9,65-74 years,1.41,127125.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2009,10,65-74 years,1.41,137452.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2010,11,65-74 years,1.41,132201.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2011,12,65-74 years,1.41,131233.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2012,13,65-74 years,1.41,126436.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2013,14,65-74 years,1.41,141507.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2014,15,65-74 years,1.41,143355.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2015,16,65-74 years,1.41,159752.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2016,17,65-74 years,1.41,132148.0,6579.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,65-74 years,1.41,2018,19,65-74 years,1.41,147017.0,9550.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2000,1,75 years and over,1.42,97842.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2001,2,75 years and over,1.42,127299.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2002,3,75 years and over,1.42,125479.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2003,4,75 years and over,1.42,121096.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2004,5,75 years and over,1.42,120565.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2005,6,75 years and over,1.42,128623.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2006,7,75 years and over,1.42,121774.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2007,8,75 years and over,1.42,130409.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2008,9,75 years and over,1.42,129010.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2009,10,75 years and over,1.42,142062.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2010,11,75 years and over,1.42,126775.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2011,12,75 years and over,1.42,124503.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2012,13,75 years and over,1.42,121197.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2013,14,75 years and over,1.42,123688.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2014,15,75 years and over,1.42,121164.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2015,16,75 years and over,1.42,145918.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2016,17,75 years and over,1.42,106868.0,5536.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,Number of visits in thousands,1,Age,1,75 years and over,1.42,2018,19,75 years and over,1.42,134427.0,10813.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2000,1,All ages,0.1,304.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2001,2,All ages,0.1,342.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2002,3,All ages,0.1,342.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2003,4,All ages,0.1,317.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2004,5,All ages,0.1,315.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2005,6,All ages,0.1,329.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2006,7,All ages,0.1,305.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2007,8,All ages,0.1,332.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2008,9,All ages,0.1,315.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2009,10,All ages,0.1,337.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2010,11,All ages,0.1,325.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2011,12,All ages,0.1,314.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2012,13,All ages,0.1,292.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2013,14,All ages,0.1,285.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2014,15,All ages,0.1,268.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2015,16,All ages,0.1,297.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2016,17,All ages,0.1,267.0,9.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2018,19,All ages,0.1,250.0,11.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2000,1,All ages,0.1,261.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2001,2,All ages,0.1,294.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2002,3,All ages,0.1,293.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2003,4,All ages,0.1,273.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2004,5,All ages,0.1,274.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2005,6,All ages,0.1,289.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2006,7,All ages,0.1,262.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2007,8,All ages,0.1,290.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2008,9,All ages,0.1,265.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2009,10,All ages,0.1,290.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2010,11,All ages,0.1,283.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2011,12,All ages,0.1,280.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2012,13,All ages,0.1,254.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2013,14,All ages,0.1,250.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2014,15,All ages,0.1,238.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2015,16,All ages,0.1,252.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2016,17,All ages,0.1,230.0,9.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2018,19,All ages,0.1,214.0,11.0,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2000,1,All ages,0.1,345.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2001,2,All ages,0.1,388.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2002,3,All ages,0.1,388.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2003,4,All ages,0.1,360.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2004,5,All ages,0.1,355.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2005,6,All ages,0.1,367.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2006,7,All ages,0.1,346.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2007,8,All ages,0.1,374.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2008,9,All ages,0.1,363.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2009,10,All ages,0.1,383.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2010,11,All ages,0.1,367.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2011,12,All ages,0.1,348.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",Physician offices,2,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2012,13,All ages,0.1,328.0,,
